#node	identifier	category	term ID	term description
ANKRD26	9541.XP_005564890.1	InterPro	IPR021885	Domain of unknown function DUF3496
ANKRD26	9541.XP_005564890.1	InterPro	IPR036770	Ankyrin repeat-containing domain superfamily
ANKRD26	9541.XP_005564890.1	InterPro	IPR039497	CCDC144C-like, coiled-coil domain
ANKRD26	9541.XP_005564890.1	SMART	SM00248	Ankyrin repeats
ASPM	9541.XP_005540367.1	GO Process	GO:0000226	Microtubule cytoskeleton organization
ASPM	9541.XP_005540367.1	GO Process	GO:0006996	Organelle organization
ASPM	9541.XP_005540367.1	GO Process	GO:0007010	Cytoskeleton organization
ASPM	9541.XP_005540367.1	GO Process	GO:0007017	Microtubule-based process
ASPM	9541.XP_005540367.1	GO Process	GO:0007049	Cell cycle
ASPM	9541.XP_005540367.1	GO Process	GO:0007051	Spindle organization
ASPM	9541.XP_005540367.1	GO Process	GO:0009987	Cellular process
ASPM	9541.XP_005540367.1	GO Process	GO:0016043	Cellular component organization
ASPM	9541.XP_005540367.1	GO Process	GO:0022402	Cell cycle process
ASPM	9541.XP_005540367.1	GO Process	GO:0051301	Cell division
ASPM	9541.XP_005540367.1	GO Process	GO:0071840	Cellular component organization or biogenesis
ASPM	9541.XP_005540367.1	GO Function	GO:0005488	Binding
ASPM	9541.XP_005540367.1	GO Function	GO:0005515	Protein binding
ASPM	9541.XP_005540367.1	GO Function	GO:0005516	Calmodulin binding
ASPM	9541.XP_005540367.1	GO Component	GO:0005622	Intracellular
ASPM	9541.XP_005540367.1	GO Component	GO:0005634	Nucleus
ASPM	9541.XP_005540367.1	GO Component	GO:0005737	Cytoplasm
ASPM	9541.XP_005540367.1	GO Component	GO:0005819	Spindle
ASPM	9541.XP_005540367.1	GO Component	GO:0005856	Cytoskeleton
ASPM	9541.XP_005540367.1	GO Component	GO:0015630	Microtubule cytoskeleton
ASPM	9541.XP_005540367.1	GO Component	GO:0043226	Organelle
ASPM	9541.XP_005540367.1	GO Component	GO:0043227	Membrane-bounded organelle
ASPM	9541.XP_005540367.1	GO Component	GO:0043228	Non-membrane-bounded organelle
ASPM	9541.XP_005540367.1	GO Component	GO:0043229	Intracellular organelle
ASPM	9541.XP_005540367.1	GO Component	GO:0043231	Intracellular membrane-bounded organelle
ASPM	9541.XP_005540367.1	GO Component	GO:0043232	Intracellular non-membrane-bounded organelle
ASPM	9541.XP_005540367.1	GO Component	GO:0110165	Cellular anatomical entity
ASPM	9541.XP_005540367.1	STRING clusters	CL:11768	Centriole, and DoxX-like family
ASPM	9541.XP_005540367.1	STRING clusters	CL:11770	Centriole, and DoxX-like family
ASPM	9541.XP_005540367.1	STRING clusters	CL:11771	Centriole, and DoxX-like family
ASPM	9541.XP_005540367.1	STRING clusters	CL:11821	Mixed, incl. centriole replication, and DoxX-like family
ASPM	9541.XP_005540367.1	STRING clusters	CL:11823	Mixed, incl. centriole replication, and CEP170, C-terminal
ASPM	9541.XP_005540367.1	STRING clusters	CL:11826	Mixed, incl. Centromere protein J, and SCL-interrupting locus protein
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000000	Tissues, cell types and enzyme sources
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000032	Colonic adenocarcinoma cell
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000035	Colorectal adenocarcinoma cell
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000042	Animal
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000176	Carcinoma cell
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000193	Rectal cancer cell
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000415	Epithelioma cell
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000586	Colonic cancer cell
ASPM	9541.XP_005540367.1	TISSUES	BTO:0000604	Adenocarcinoma cell
ASPM	9541.XP_005540367.1	TISSUES	BTO:0001533	Gastrointestinal cancer cell
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0000922	Spindle pole
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0005622	Intracellular
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0005819	Spindle
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0005856	Cytoskeleton
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0005874	Microtubule
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0015630	Microtubule cytoskeleton
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0036449	Microtubule minus-end
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0043226	Organelle
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0043228	Non-membrane-bounded organelle
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0043229	Intracellular organelle
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0043232	Intracellular non-membrane-bounded organelle
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0072686	Mitotic spindle
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0097431	Mitotic spindle pole
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0099080	Supramolecular complex
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0099081	Supramolecular polymer
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0099512	Supramolecular fiber
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0099513	Polymeric cytoskeletal fiber
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
ASPM	9541.XP_005540367.1	COMPARTMENTS	GOCC:1990752	Microtubule end
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0112	Calmodulin-binding
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0131	Cell cycle
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0132	Cell division
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0175	Coiled coil
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0206	Cytoskeleton
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0498	Mitosis
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0539	Nucleus
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0597	Phosphoprotein
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0677	Repeat
ASPM	9541.XP_005540367.1	UniProt Keywords	KW-0963	Cytoplasm
ASPM	9541.XP_005540367.1	Pfam	PF00307	Calponin homology (CH) domain
ASPM	9541.XP_005540367.1	Pfam	PF00612	IQ calmodulin-binding motif
ASPM	9541.XP_005540367.1	Pfam	PF11971	CAMSAP CH domain
ASPM	9541.XP_005540367.1	Pfam	PF15780	Abnormal spindle-like microcephaly-assocd, ASPM-SPD-2-Hydin
ASPM	9541.XP_005540367.1	InterPro	IPR000048	IQ motif, EF-hand binding site
ASPM	9541.XP_005540367.1	InterPro	IPR001715	Calponin homology domain
ASPM	9541.XP_005540367.1	InterPro	IPR011989	Armadillo-like helical
ASPM	9541.XP_005540367.1	InterPro	IPR013783	Immunoglobulin-like fold
ASPM	9541.XP_005540367.1	InterPro	IPR016024	Armadillo-type fold
ASPM	9541.XP_005540367.1	InterPro	IPR027417	P-loop containing nucleoside triphosphate hydrolase
ASPM	9541.XP_005540367.1	InterPro	IPR029955	Abnormal spindle-like microcephaly-associated protein
ASPM	9541.XP_005540367.1	InterPro	IPR031549	Abnormal spindle-like microcephaly-associated protein, ASH domain
ASPM	9541.XP_005540367.1	InterPro	IPR036872	CH domain superfamily
ASPM	9541.XP_005540367.1	SMART	SM00015	Short calmodulin-binding motif containing conserved Ile and Gln residues.
ASPM	9541.XP_005540367.1	SMART	SM00033	Calponin homology domain
AURKA	9541.XP_005569450.1	GO Process	GO:0000003	Reproduction
AURKA	9541.XP_005569450.1	GO Process	GO:0000075	Cell cycle checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0000077	DNA damage checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0000086	G2/M transition of mitotic cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0000212	Meiotic spindle organization
AURKA	9541.XP_005569450.1	GO Process	GO:0000226	Microtubule cytoskeleton organization
AURKA	9541.XP_005569450.1	GO Process	GO:0000278	Mitotic cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0000280	Nuclear division
AURKA	9541.XP_005569450.1	GO Process	GO:0000902	Cell morphogenesis
AURKA	9541.XP_005569450.1	GO Process	GO:0001889	Liver development
AURKA	9541.XP_005569450.1	GO Process	GO:0003002	Regionalization
AURKA	9541.XP_005569450.1	GO Process	GO:0006325	Chromatin organization
AURKA	9541.XP_005569450.1	GO Process	GO:0006464	Cellular protein modification process
AURKA	9541.XP_005569450.1	GO Process	GO:0006468	Protein phosphorylation
AURKA	9541.XP_005569450.1	GO Process	GO:0006508	Proteolysis
AURKA	9541.XP_005569450.1	GO Process	GO:0006511	Ubiquitin-dependent protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0006793	Phosphorus metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0006796	Phosphate-containing compound metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0006807	Nitrogen compound metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0006950	Response to stress
AURKA	9541.XP_005569450.1	GO Process	GO:0006974	Cellular response to DNA damage stimulus
AURKA	9541.XP_005569450.1	GO Process	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
AURKA	9541.XP_005569450.1	GO Process	GO:0006996	Organelle organization
AURKA	9541.XP_005569450.1	GO Process	GO:0007010	Cytoskeleton organization
AURKA	9541.XP_005569450.1	GO Process	GO:0007017	Microtubule-based process
AURKA	9541.XP_005569450.1	GO Process	GO:0007049	Cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0007051	Spindle organization
AURKA	9541.XP_005569450.1	GO Process	GO:0007052	Mitotic spindle organization
AURKA	9541.XP_005569450.1	GO Process	GO:0007056	Spindle assembly involved in female meiosis
AURKA	9541.XP_005569450.1	GO Process	GO:0007057	Spindle assembly involved in female meiosis I
AURKA	9541.XP_005569450.1	GO Process	GO:0007088	Regulation of mitotic nuclear division
AURKA	9541.XP_005569450.1	GO Process	GO:0007093	Mitotic cell cycle checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0007098	Centrosome cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0007100	Mitotic centrosome separation
AURKA	9541.XP_005569450.1	GO Process	GO:0007127	Meiosis I
AURKA	9541.XP_005569450.1	GO Process	GO:0007143	Female meiotic nuclear division
AURKA	9541.XP_005569450.1	GO Process	GO:0007144	Female meiosis I
AURKA	9541.XP_005569450.1	GO Process	GO:0007154	Cell communication
AURKA	9541.XP_005569450.1	GO Process	GO:0007165	Signal transduction
AURKA	9541.XP_005569450.1	GO Process	GO:0007275	Multicellular organism development
AURKA	9541.XP_005569450.1	GO Process	GO:0007276	Gamete generation
AURKA	9541.XP_005569450.1	GO Process	GO:0007292	Female gamete generation
AURKA	9541.XP_005569450.1	GO Process	GO:0007346	Regulation of mitotic cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0007389	Pattern specification process
AURKA	9541.XP_005569450.1	GO Process	GO:0007399	Nervous system development
AURKA	9541.XP_005569450.1	GO Process	GO:0008104	Protein localization
AURKA	9541.XP_005569450.1	GO Process	GO:0008152	Metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0009056	Catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0009057	Macromolecule catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0009611	Response to wounding
AURKA	9541.XP_005569450.1	GO Process	GO:0009653	Anatomical structure morphogenesis
AURKA	9541.XP_005569450.1	GO Process	GO:0009798	Axis specification
AURKA	9541.XP_005569450.1	GO Process	GO:0009892	Negative regulation of metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0009893	Positive regulation of metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0009894	Regulation of catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0009896	Positive regulation of catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0009948	Anterior/posterior axis specification
AURKA	9541.XP_005569450.1	GO Process	GO:0009952	Anterior/posterior pattern specification
AURKA	9541.XP_005569450.1	GO Process	GO:0009966	Regulation of signal transduction
AURKA	9541.XP_005569450.1	GO Process	GO:0009987	Cellular process
AURKA	9541.XP_005569450.1	GO Process	GO:0010389	Regulation of G2/M transition of mitotic cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0010468	Regulation of gene expression
AURKA	9541.XP_005569450.1	GO Process	GO:0010498	Proteasomal protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0010564	Regulation of cell cycle process
AURKA	9541.XP_005569450.1	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0010605	Negative regulation of macromolecule metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0010629	Negative regulation of gene expression
AURKA	9541.XP_005569450.1	GO Process	GO:0010638	Positive regulation of organelle organization
AURKA	9541.XP_005569450.1	GO Process	GO:0010646	Regulation of cell communication
AURKA	9541.XP_005569450.1	GO Process	GO:0010720	Positive regulation of cell development
AURKA	9541.XP_005569450.1	GO Process	GO:0010941	Regulation of cell death
AURKA	9541.XP_005569450.1	GO Process	GO:0010948	Negative regulation of cell cycle process
AURKA	9541.XP_005569450.1	GO Process	GO:0010972	Negative regulation of G2/M transition of mitotic cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0016043	Cellular component organization
AURKA	9541.XP_005569450.1	GO Process	GO:0016049	Cell growth
AURKA	9541.XP_005569450.1	GO Process	GO:0016310	Phosphorylation
AURKA	9541.XP_005569450.1	GO Process	GO:0016569	Covalent chromatin modification
AURKA	9541.XP_005569450.1	GO Process	GO:0016570	Histone modification
AURKA	9541.XP_005569450.1	GO Process	GO:0016572	Histone phosphorylation
AURKA	9541.XP_005569450.1	GO Process	GO:0018105	Peptidyl-serine phosphorylation
AURKA	9541.XP_005569450.1	GO Process	GO:0018193	Peptidyl-amino acid modification
AURKA	9541.XP_005569450.1	GO Process	GO:0018209	Peptidyl-serine modification
AURKA	9541.XP_005569450.1	GO Process	GO:0019222	Regulation of metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0019538	Protein metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0019941	Modification-dependent protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0019953	Sexual reproduction
AURKA	9541.XP_005569450.1	GO Process	GO:0022008	Neurogenesis
AURKA	9541.XP_005569450.1	GO Process	GO:0022402	Cell cycle process
AURKA	9541.XP_005569450.1	GO Process	GO:0022412	Cellular process involved in reproduction in multicellular organism
AURKA	9541.XP_005569450.1	GO Process	GO:0022414	Reproductive process
AURKA	9541.XP_005569450.1	GO Process	GO:0022607	Cellular component assembly
AURKA	9541.XP_005569450.1	GO Process	GO:0023051	Regulation of signaling
AURKA	9541.XP_005569450.1	GO Process	GO:0023052	Signaling
AURKA	9541.XP_005569450.1	GO Process	GO:0030030	Cell projection organization
AURKA	9541.XP_005569450.1	GO Process	GO:0030154	Cell differentiation
AURKA	9541.XP_005569450.1	GO Process	GO:0030162	Regulation of proteolysis
AURKA	9541.XP_005569450.1	GO Process	GO:0030163	Protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0030182	Neuron differentiation
AURKA	9541.XP_005569450.1	GO Process	GO:0030330	DNA damage response, signal transduction by p53 class mediator
AURKA	9541.XP_005569450.1	GO Process	GO:0031023	Microtubule organizing center organization
AURKA	9541.XP_005569450.1	GO Process	GO:0031099	Regeneration
AURKA	9541.XP_005569450.1	GO Process	GO:0031100	Animal organ regeneration
AURKA	9541.XP_005569450.1	GO Process	GO:0031145	Anaphase-promoting complex-dependent catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0031175	Neuron projection development
AURKA	9541.XP_005569450.1	GO Process	GO:0031323	Regulation of cellular metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0031325	Positive regulation of cellular metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0031329	Regulation of cellular catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0031331	Positive regulation of cellular catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0031570	DNA integrity checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0031571	Mitotic G1 DNA damage checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0031647	Regulation of protein stability
AURKA	9541.XP_005569450.1	GO Process	GO:0032091	Negative regulation of protein binding
AURKA	9541.XP_005569450.1	GO Process	GO:0032268	Regulation of cellular protein metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0032270	Positive regulation of cellular protein metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0032434	Regulation of proteasomal ubiquitin-dependent protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0032436	Positive regulation of proteasomal ubiquitin-dependent protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0032465	Regulation of cytokinesis
AURKA	9541.XP_005569450.1	GO Process	GO:0032501	Multicellular organismal process
AURKA	9541.XP_005569450.1	GO Process	GO:0032502	Developmental process
AURKA	9541.XP_005569450.1	GO Process	GO:0032504	Multicellular organism reproduction
AURKA	9541.XP_005569450.1	GO Process	GO:0032886	Regulation of microtubule-based process
AURKA	9541.XP_005569450.1	GO Process	GO:0032989	Cellular component morphogenesis
AURKA	9541.XP_005569450.1	GO Process	GO:0032990	Cell part morphogenesis
AURKA	9541.XP_005569450.1	GO Process	GO:0033036	Macromolecule localization
AURKA	9541.XP_005569450.1	GO Process	GO:0033043	Regulation of organelle organization
AURKA	9541.XP_005569450.1	GO Process	GO:0033365	Protein localization to organelle
AURKA	9541.XP_005569450.1	GO Process	GO:0033554	Cellular response to stress
AURKA	9541.XP_005569450.1	GO Process	GO:0034613	Cellular protein localization
AURKA	9541.XP_005569450.1	GO Process	GO:0035404	Histone-serine phosphorylation
AURKA	9541.XP_005569450.1	GO Process	GO:0035556	Intracellular signal transduction
AURKA	9541.XP_005569450.1	GO Process	GO:0036211	Protein modification process
AURKA	9541.XP_005569450.1	GO Process	GO:0040007	Growth
AURKA	9541.XP_005569450.1	GO Process	GO:0042176	Regulation of protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0042770	Signal transduction in response to DNA damage
AURKA	9541.XP_005569450.1	GO Process	GO:0042981	Regulation of apoptotic process
AURKA	9541.XP_005569450.1	GO Process	GO:0043066	Negative regulation of apoptotic process
AURKA	9541.XP_005569450.1	GO Process	GO:0043067	Regulation of programmed cell death
AURKA	9541.XP_005569450.1	GO Process	GO:0043069	Negative regulation of programmed cell death
AURKA	9541.XP_005569450.1	GO Process	GO:0043161	Proteasome-mediated ubiquitin-dependent protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0043170	Macromolecule metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0043393	Regulation of protein binding
AURKA	9541.XP_005569450.1	GO Process	GO:0043412	Macromolecule modification
AURKA	9541.XP_005569450.1	GO Process	GO:0043632	Modification-dependent macromolecule catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0043900	Regulation of multi-organism process
AURKA	9541.XP_005569450.1	GO Process	GO:0043902	Positive regulation of multi-organism process
AURKA	9541.XP_005569450.1	GO Process	GO:0044085	Cellular component biogenesis
AURKA	9541.XP_005569450.1	GO Process	GO:0044092	Negative regulation of molecular function
AURKA	9541.XP_005569450.1	GO Process	GO:0044237	Cellular metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0044238	Primary metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0044248	Cellular catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0044257	Cellular protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0044260	Cellular macromolecule metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0044265	Cellular macromolecule catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0044267	Cellular protein metabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0044380	Protein localization to cytoskeleton
AURKA	9541.XP_005569450.1	GO Process	GO:0044703	Multi-organism reproductive process
AURKA	9541.XP_005569450.1	GO Process	GO:0044770	Cell cycle phase transition
AURKA	9541.XP_005569450.1	GO Process	GO:0044772	Mitotic cell cycle phase transition
AURKA	9541.XP_005569450.1	GO Process	GO:0044773	Mitotic DNA damage checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0044774	Mitotic DNA integrity checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0044783	G1 DNA damage checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0044819	Mitotic G1/S transition checkpoint
AURKA	9541.XP_005569450.1	GO Process	GO:0044839	Cell cycle G2/M phase transition
AURKA	9541.XP_005569450.1	GO Process	GO:0045595	Regulation of cell differentiation
AURKA	9541.XP_005569450.1	GO Process	GO:0045597	Positive regulation of cell differentiation
AURKA	9541.XP_005569450.1	GO Process	GO:0045732	Positive regulation of protein catabolic process
AURKA	9541.XP_005569450.1	GO Process	GO:0045786	Negative regulation of cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0045787	Positive regulation of cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0045840	Positive regulation of mitotic nuclear division
AURKA	9541.XP_005569450.1	GO Process	GO:0045862	Positive regulation of proteolysis
AURKA	9541.XP_005569450.1	GO Process	GO:0045930	Negative regulation of mitotic cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0045931	Positive regulation of mitotic cell cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0046605	Regulation of centrosome cycle
AURKA	9541.XP_005569450.1	GO Process	GO:0046777	Protein autophosphorylation
AURKA	9541.XP_005569450.1	GO Process	GO:0048285	Organelle fission
AURKA	9541.XP_005569450.1	GO Process	GO:0048468	Cell development
AURKA	9541.XP_005569450.1	GO Process	GO:0048513	Animal organ development
AURKA	9541.XP_005569450.1	GO Process	GO:0048518	Positive regulation of biological process
AURKA	9541.XP_005569450.1	GO Process	GO:0048519	Negative regulation of biological process
AURKA	9541.XP_005569450.1	GO Process	GO:0048522	Positive regulation of cellular process
AURKA	9541.XP_005569450.1	GO Process	GO:0048523	Negative regulation of cellular process
AURKA	9541.XP_005569450.1	GO Process	GO:0048583	Regulation of response to stimulus
AURKA	9541.XP_005569450.1	GO Process	GO:0048588	Developmental cell growth
AURKA	9541.XP_005569450.1	GO Process	GO:0048589	Developmental growth
AURKA	9541.XP_005569450.1	GO Process	GO:0048609	Multicellular organismal reproductive process
AURKA	9541.XP_005569450.1	GO Process	GO:0048666	Neuron development
AURKA	9541.XP_005569450.1	GO Process	GO:0048699	Generation of neurons
AURKA	9541.XP_005569450.1	GO Process	GO:0048731	System development
AURKA	9541.XP_005569450.1	GO Process	GO:0048732	Gland development
AURKA	9541.XP_005569450.1	GO Process	GO:0048812	Neuron projection morphogenesis
AURKA	9541.XP_005569450.1	GO Process	GO:0048856	Anatomical structure development
AURKA	9541.XP_005569450.1	GO Process	GO:0048858	Cell projection morphogenesis
AURKA	9541.XP_005569450.1	GO Process	GO:0048869	Cellular developmental process
